"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 00:15:00","BZN|DE-LU","Sequence Sequence 1","41.88","",""
"01/01/2020 00:00:00 - 01/01/2020 00:15:00","BZN|DE-LU","Sequence Sequence 2","44.24","",""
"01/01/2020 00:15:00 - 01/01/2020 00:30:00","BZN|DE-LU","Sequence Sequence 1","41.88","",""
"01/01/2020 00:15:00 - 01/01/2020 00:30:00","BZN|DE-LU","Sequence Sequence 2","35.58","",""
"01/01/2020 00:30:00 - 01/01/2020 00:45:00","BZN|DE-LU","Sequence Sequence 1","41.88","",""
"01/01/2020 00:30:00 - 01/01/2020 00:45:00","BZN|DE-LU","Sequence Sequence 2","22.79","",""
"01/01/2020 00:45:00 - 01/01/2020 01:00:00","BZN|DE-LU","Sequence Sequence 1","41.88","",""
"01/01/2020 00:45:00 - 01/01/2020 01:00:00","BZN|DE-LU","Sequence Sequence 2","9.36","",""
"01/01/2020 01:00:00 - 01/01/2020 01:15:00","BZN|DE-LU","Sequence Sequence 1","38.60","",""
"01/01/2020 01:00:00 - 01/01/2020 01:15:00","BZN|DE-LU","Sequence Sequence 2","41.17","",""
"01/01/2020 01:15:00 - 01/01/2020 01:30:00","BZN|DE-LU","Sequence Sequence 1","38.60","",""
"01/01/2020 01:15:00 - 01/01/2020 01:30:00","BZN|DE-LU","Sequence Sequence 2","33.69","",""
"01/01/2020 01:30:00 - 01/01/2020 01:45:00","BZN|DE-LU","Sequence Sequence 1","38.60","",""
"01/01/2020 01:30:00 - 01/01/2020 01:45:00","BZN|DE-LU","Sequence Sequence 2","17.00","",""
"01/01/2020 01:45:00 - 01/01/2020 02:00:00","BZN|DE-LU","Sequence Sequence 1","38.60","",""
"01/01/2020 01:45:00 - 01/01/2020 02:00:00","BZN|DE-LU","Sequence Sequence 2","10.14","",""
"01/01/2020 02:00:00 - 01/01/2020 02:15:00","BZN|DE-LU","Sequence Sequence 1","36.55","",""
"01/01/2020 02:00:00 - 01/01/2020 02:15:00","BZN|DE-LU","Sequence Sequence 2","30.30","",""
"01/01/2020 02:15:00 - 01/01/2020 02:30:00","BZN|DE-LU","Sequence Sequence 1","36.55","",""
"01/01/2020 02:15:00 - 01/01/2020 02:30:00","BZN|DE-LU","Sequence Sequence 2","26.36","",""
"01/01/2020 02:30:00 - 01/01/2020 02:45:00","BZN|DE-LU","Sequence Sequence 1","36.55","",""
"01/01/2020 02:30:00 - 01/01/2020 02:45:00","BZN|DE-LU","Sequence Sequence 2","21.00","",""
"01/01/2020 02:45:00 - 01/01/2020 03:00:00","BZN|DE-LU","Sequence Sequence 1","36.55","",""
"01/01/2020 02:45:00 - 01/01/2020 03:00:00","BZN|DE-LU","Sequence Sequence 2","18.34","",""
"01/01/2020 03:00:00 - 01/01/2020 03:15:00","BZN|DE-LU","Sequence Sequence 1","32.32","",""
"01/01/2020 03:00:00 - 01/01/2020 03:15:00","BZN|DE-LU","Sequence Sequence 2","23.23","",""
"01/01/2020 03:15:00 - 01/01/2020 03:30:00","BZN|DE-LU","Sequence Sequence 1","32.32","",""
"01/01/2020 03:15:00 - 01/01/2020 03:30:00","BZN|DE-LU","Sequence Sequence 2","21.65","",""
"01/01/2020 03:30:00 - 01/01/2020 03:45:00","BZN|DE-LU","Sequence Sequence 1","32.32","",""
"01/01/2020 03:30:00 - 01/01/2020 03:45:00","BZN|DE-LU","Sequence Sequence 2","23.00","",""
"01/01/2020 03:45:00 - 01/01/2020 04:00:00","BZN|DE-LU","Sequence Sequence 1","32.32","",""
"01/01/2020 03:45:00 - 01/01/2020 04:00:00","BZN|DE-LU","Sequence Sequence 2","24.53","",""
"01/01/2020 04:00:00 - 01/01/2020 04:15:00","BZN|DE-LU","Sequence Sequence 1","30.85","",""
"01/01/2020 04:00:00 - 01/01/2020 04:15:00","BZN|DE-LU","Sequence Sequence 2","12.46","",""
"01/01/2020 04:15:00 - 01/01/2020 04:30:00","BZN|DE-LU","Sequence Sequence 1","30.85","",""
"01/01/2020 04:15:00 - 01/01/2020 04:30:00","BZN|DE-LU","Sequence Sequence 2","22.11","",""
"01/01/2020 04:30:00 - 01/01/2020 04:45:00","BZN|DE-LU","Sequence Sequence 1","30.85","",""
"01/01/2020 04:30:00 - 01/01/2020 04:45:00","BZN|DE-LU","Sequence Sequence 2","24.94","",""
"01/01/2020 04:45:00 - 01/01/2020 05:00:00","BZN|DE-LU","Sequence Sequence 1","30.85","",""
"01/01/2020 04:45:00 - 01/01/2020 05:00:00","BZN|DE-LU","Sequence Sequence 2","24.92","",""
"01/01/2020 05:00:00 - 01/01/2020 05:15:00","BZN|DE-LU","Sequence Sequence 1","30.14","",""
"01/01/2020 05:00:00 - 01/01/2020 05:15:00","BZN|DE-LU","Sequence Sequence 2","19.54","",""
"01/01/2020 05:15:00 - 01/01/2020 05:30:00","BZN|DE-LU","Sequence Sequence 1","30.14","",""
"01/01/2020 05:15:00 - 01/01/2020 05:30:00","BZN|DE-LU","Sequence Sequence 2","22.11","",""
"01/01/2020 05:30:00 - 01/01/2020 05:45:00","BZN|DE-LU","Sequence Sequence 1","30.14","",""
"01/01/2020 05:30:00 - 01/01/2020 05:45:00","BZN|DE-LU","Sequence Sequence 2","22.57","",""
"01/01/2020 05:45:00 - 01/01/2020 06:00:00","BZN|DE-LU","Sequence Sequence 1","30.14","",""
"01/01/2020 05:45:00 - 01/01/2020 06:00:00","BZN|DE-LU","Sequence Sequence 2","24.98","",""
"01/01/2020 06:00:00 - 01/01/2020 06:15:00","BZN|DE-LU","Sequence Sequence 1","30.17","",""
"01/01/2020 06:00:00 - 01/01/2020 06:15:00","BZN|DE-LU","Sequence Sequence 2","20.10","",""
"01/01/2020 06:15:00 - 01/01/2020 06:30:00","BZN|DE-LU","Sequence Sequence 1","30.17","",""
"01/01/2020 06:15:00 - 01/01/2020 06:30:00","BZN|DE-LU","Sequence Sequence 2","20.00","",""
"01/01/2020 06:30:00 - 01/01/2020 06:45:00","BZN|DE-LU","Sequence Sequence 1","30.17","",""
"01/01/2020 06:30:00 - 01/01/2020 06:45:00","BZN|DE-LU","Sequence Sequence 2","22.76","",""
"01/01/2020 06:45:00 - 01/01/2020 07:00:00","BZN|DE-LU","Sequence Sequence 1","30.17","",""
"01/01/2020 06:45:00 - 01/01/2020 07:00:00","BZN|DE-LU","Sequence Sequence 2","29.14","",""
"01/01/2020 07:00:00 - 01/01/2020 07:15:00","BZN|DE-LU","Sequence Sequence 1","30.00","",""
"01/01/2020 07:00:00 - 01/01/2020 07:15:00","BZN|DE-LU","Sequence Sequence 2","14.77","",""
"01/01/2020 07:15:00 - 01/01/2020 07:30:00","BZN|DE-LU","Sequence Sequence 1","30.00","",""
"01/01/2020 07:15:00 - 01/01/2020 07:30:00","BZN|DE-LU","Sequence Sequence 2","22.75","",""
"01/01/2020 07:30:00 - 01/01/2020 07:45:00","BZN|DE-LU","Sequence Sequence 1","30.00","",""
"01/01/2020 07:30:00 - 01/01/2020 07:45:00","BZN|DE-LU","Sequence Sequence 2","30.41","",""
"01/01/2020 07:45:00 - 01/01/2020 08:00:00","BZN|DE-LU","Sequence Sequence 1","30.00","",""
"01/01/2020 07:45:00 - 01/01/2020 08:00:00","BZN|DE-LU","Sequence Sequence 2","35.67","",""
"01/01/2020 08:00:00 - 01/01/2020 08:15:00","BZN|DE-LU","Sequence Sequence 1","30.65","",""
"01/01/2020 08:00:00 - 01/01/2020 08:15:00","BZN|DE-LU","Sequence Sequence 2","15.50","",""
"01/01/2020 08:15:00 - 01/01/2020 08:30:00","BZN|DE-LU","Sequence Sequence 1","30.65","",""
"01/01/2020 08:15:00 - 01/01/2020 08:30:00","BZN|DE-LU","Sequence Sequence 2","24.92","",""
"01/01/2020 08:30:00 - 01/01/2020 08:45:00","BZN|DE-LU","Sequence Sequence 1","30.65","",""
"01/01/2020 08:30:00 - 01/01/2020 08:45:00","BZN|DE-LU","Sequence Sequence 2","26.95","",""
"01/01/2020 08:45:00 - 01/01/2020 09:00:00","BZN|DE-LU","Sequence Sequence 1","30.65","",""
"01/01/2020 08:45:00 - 01/01/2020 09:00:00","BZN|DE-LU","Sequence Sequence 2","33.85","",""
"01/01/2020 09:00:00 - 01/01/2020 09:15:00","BZN|DE-LU","Sequence Sequence 1","30.65","",""
"01/01/2020 09:00:00 - 01/01/2020 09:15:00","BZN|DE-LU","Sequence Sequence 2","24.72","",""
"01/01/2020 09:15:00 - 01/01/2020 09:30:00","BZN|DE-LU","Sequence Sequence 1","30.65","",""
"01/01/2020 09:15:00 - 01/01/2020 09:30:00","BZN|DE-LU","Sequence Sequence 2","28.44","",""
"01/01/2020 09:30:00 - 01/01/2020 09:45:00","BZN|DE-LU","Sequence Sequence 1","30.65","",""
"01/01/2020 09:30:00 - 01/01/2020 09:45:00","BZN|DE-LU","Sequence Sequence 2","28.71","",""
"01/01/2020 09:45:00 - 01/01/2020 10:00:00","BZN|DE-LU","Sequence Sequence 1","30.65","",""
"01/01/2020 09:45:00 - 01/01/2020 10:00:00","BZN|DE-LU","Sequence Sequence 2","24.65","",""
"01/01/2020 10:00:00 - 01/01/2020 10:15:00","BZN|DE-LU","Sequence Sequence 1","30.27","",""
"01/01/2020 10:00:00 - 01/01/2020 10:15:00","BZN|DE-LU","Sequence Sequence 2","28.12","",""
"01/01/2020 10:15:00 - 01/01/2020 10:30:00","BZN|DE-LU","Sequence Sequence 1","30.27","",""
"01/01/2020 10:15:00 - 01/01/2020 10:30:00","BZN|DE-LU","Sequence Sequence 2","25.00","",""
"01/01/2020 10:30:00 - 01/01/2020 10:45:00","BZN|DE-LU","Sequence Sequence 1","30.27","",""
"01/01/2020 10:30:00 - 01/01/2020 10:45:00","BZN|DE-LU","Sequence Sequence 2","24.87","",""
"01/01/2020 10:45:00 - 01/01/2020 11:00:00","BZN|DE-LU","Sequence Sequence 1","30.27","",""
"01/01/2020 10:45:00 - 01/01/2020 11:00:00","BZN|DE-LU","Sequence Sequence 2","28.40","",""
"01/01/2020 11:00:00 - 01/01/2020 11:15:00","BZN|DE-LU","Sequence Sequence 1","30.34","",""
"01/01/2020 11:00:00 - 01/01/2020 11:15:00","BZN|DE-LU","Sequence Sequence 2","21.37","",""
"01/01/2020 11:15:00 - 01/01/2020 11:30:00","BZN|DE-LU","Sequence Sequence 1","30.34","",""
"01/01/2020 11:15:00 - 01/01/2020 11:30:00","BZN|DE-LU","Sequence Sequence 2","25.61","",""
"01/01/2020 11:30:00 - 01/01/2020 11:45:00","BZN|DE-LU","Sequence Sequence 1","30.34","",""
"01/01/2020 11:30:00 - 01/01/2020 11:45:00","BZN|DE-LU","Sequence Sequence 2","28.55","",""
"01/01/2020 11:45:00 - 01/01/2020 12:00:00","BZN|DE-LU","Sequence Sequence 1","30.34","",""
"01/01/2020 11:45:00 - 01/01/2020 12:00:00","BZN|DE-LU","Sequence Sequence 2","31.22","",""
"01/01/2020 12:00:00 - 01/01/2020 12:15:00","BZN|DE-LU","Sequence Sequence 1","30.99","",""
"01/01/2020 12:00:00 - 01/01/2020 12:15:00","BZN|DE-LU","Sequence Sequence 2","32.42","",""
"01/01/2020 12:15:00 - 01/01/2020 12:30:00","BZN|DE-LU","Sequence Sequence 1","30.99","",""
"01/01/2020 12:15:00 - 01/01/2020 12:30:00","BZN|DE-LU","Sequence Sequence 2","30.09","",""
"01/01/2020 12:30:00 - 01/01/2020 12:45:00","BZN|DE-LU","Sequence Sequence 1","30.99","",""
"01/01/2020 12:30:00 - 01/01/2020 12:45:00","BZN|DE-LU","Sequence Sequence 2","26.67","",""
"01/01/2020 12:45:00 - 01/01/2020 13:00:00","BZN|DE-LU","Sequence Sequence 1","30.99","",""
"01/01/2020 12:45:00 - 01/01/2020 13:00:00","BZN|DE-LU","Sequence Sequence 2","19.02","",""
"01/01/2020 13:00:00 - 01/01/2020 13:15:00","BZN|DE-LU","Sequence Sequence 1","30.04","",""
"01/01/2020 13:00:00 - 01/01/2020 13:15:00","BZN|DE-LU","Sequence Sequence 2","32.15","",""
"01/01/2020 13:15:00 - 01/01/2020 13:30:00","BZN|DE-LU","Sequence Sequence 1","30.04","",""
"01/01/2020 13:15:00 - 01/01/2020 13:30:00","BZN|DE-LU","Sequence Sequence 2","25.84","",""
"01/01/2020 13:30:00 - 01/01/2020 13:45:00","BZN|DE-LU","Sequence Sequence 1","30.04","",""
"01/01/2020 13:30:00 - 01/01/2020 13:45:00","BZN|DE-LU","Sequence Sequence 2","26.01","",""
"01/01/2020 13:45:00 - 01/01/2020 14:00:00","BZN|DE-LU","Sequence Sequence 1","30.04","",""
"01/01/2020 13:45:00 - 01/01/2020 14:00:00","BZN|DE-LU","Sequence Sequence 2","24.00","",""
"01/01/2020 14:00:00 - 01/01/2020 14:15:00","BZN|DE-LU","Sequence Sequence 1","30.75","",""
"01/01/2020 14:00:00 - 01/01/2020 14:15:00","BZN|DE-LU","Sequence Sequence 2","26.00","",""
"01/01/2020 14:15:00 - 01/01/2020 14:30:00","BZN|DE-LU","Sequence Sequence 1","30.75","",""
"01/01/2020 14:15:00 - 01/01/2020 14:30:00","BZN|DE-LU","Sequence Sequence 2","25.76","",""
"01/01/2020 14:30:00 - 01/01/2020 14:45:00","BZN|DE-LU","Sequence Sequence 1","30.75","",""
"01/01/2020 14:30:00 - 01/01/2020 14:45:00","BZN|DE-LU","Sequence Sequence 2","32.26","",""
"01/01/2020 14:45:00 - 01/01/2020 15:00:00","BZN|DE-LU","Sequence Sequence 1","30.75","",""
"01/01/2020 14:45:00 - 01/01/2020 15:00:00","BZN|DE-LU","Sequence Sequence 2","28.00","",""
"01/01/2020 15:00:00 - 01/01/2020 15:15:00","BZN|DE-LU","Sequence Sequence 1","32.11","",""
"01/01/2020 15:00:00 - 01/01/2020 15:15:00","BZN|DE-LU","Sequence Sequence 2","23.14","",""
"01/01/2020 15:15:00 - 01/01/2020 15:30:00","BZN|DE-LU","Sequence Sequence 1","32.11","",""
"01/01/2020 15:15:00 - 01/01/2020 15:30:00","BZN|DE-LU","Sequence Sequence 2","27.30","",""
"01/01/2020 15:30:00 - 01/01/2020 15:45:00","BZN|DE-LU","Sequence Sequence 1","32.11","",""
"01/01/2020 15:30:00 - 01/01/2020 15:45:00","BZN|DE-LU","Sequence Sequence 2","32.09","",""
"01/01/2020 15:45:00 - 01/01/2020 16:00:00","BZN|DE-LU","Sequence Sequence 1","32.11","",""
"01/01/2020 15:45:00 - 01/01/2020 16:00:00","BZN|DE-LU","Sequence Sequence 2","41.35","",""
"01/01/2020 16:00:00 - 01/01/2020 16:15:00","BZN|DE-LU","Sequence Sequence 1","35.98","",""
"01/01/2020 16:00:00 - 01/01/2020 16:15:00","BZN|DE-LU","Sequence Sequence 2","24.67","",""
"01/01/2020 16:15:00 - 01/01/2020 16:30:00","BZN|DE-LU","Sequence Sequence 1","35.98","",""
"01/01/2020 16:15:00 - 01/01/2020 16:30:00","BZN|DE-LU","Sequence Sequence 2","29.00","",""
"01/01/2020 16:30:00 - 01/01/2020 16:45:00","BZN|DE-LU","Sequence Sequence 1","35.98","",""
"01/01/2020 16:30:00 - 01/01/2020 16:45:00","BZN|DE-LU","Sequence Sequence 2","39.08","",""
"01/01/2020 16:45:00 - 01/01/2020 17:00:00","BZN|DE-LU","Sequence Sequence 1","35.98","",""
"01/01/2020 16:45:00 - 01/01/2020 17:00:00","BZN|DE-LU","Sequence Sequence 2","46.19","",""
"01/01/2020 17:00:00 - 01/01/2020 17:15:00","BZN|DE-LU","Sequence Sequence 1","40.40","",""
"01/01/2020 17:00:00 - 01/01/2020 17:15:00","BZN|DE-LU","Sequence Sequence 2","32.55","",""
"01/01/2020 17:15:00 - 01/01/2020 17:30:00","BZN|DE-LU","Sequence Sequence 1","40.40","",""
"01/01/2020 17:15:00 - 01/01/2020 17:30:00","BZN|DE-LU","Sequence Sequence 2","36.56","",""
"01/01/2020 17:30:00 - 01/01/2020 17:45:00","BZN|DE-LU","Sequence Sequence 1","40.40","",""
"01/01/2020 17:30:00 - 01/01/2020 17:45:00","BZN|DE-LU","Sequence Sequence 2","41.08","",""
"01/01/2020 17:45:00 - 01/01/2020 18:00:00","BZN|DE-LU","Sequence Sequence 1","40.40","",""
"01/01/2020 17:45:00 - 01/01/2020 18:00:00","BZN|DE-LU","Sequence Sequence 2","45.21","",""
"01/01/2020 18:00:00 - 01/01/2020 18:15:00","BZN|DE-LU","Sequence Sequence 1","44.05","",""
"01/01/2020 18:00:00 - 01/01/2020 18:15:00","BZN|DE-LU","Sequence Sequence 2","43.06","",""
