"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"03.02.2026","30,01","29,70","30,17","28,94","9,67K","-1,50%"
"02.02.2026","30,47","31,20","31,49","30,10","8,36K","-8,01%"
"30.01.2026","33,12","32,95","33,57","32,01","8,84K","1,57%"
"29.01.2026","32,61","31,20","32,69","31,05","8,88K","5,86%"
"28.01.2026","30,81","30,50","31,01","29,60","9,06K","1,87%"
"27.01.2026","30,24","30,52","31,15","29,65","9,68K","-1,34%"
"26.01.2026","30,65","32,65","33,31","30,45","8,18K","-2,70%"
"23.01.2026","31,50","30,52","31,83","30,12","9,77K","1,37%"
"22.01.2026","31,08","32,03","33,74","30,85","11,57K","-2,17%"
"21.01.2026","31,77","29,26","32,38","29,17","8,74K","4,76%"
"20.01.2026","30,33","30,15","31,38","29,38","11,37K","1,28%"
"19.01.2026","29,94","30,20","30,20","28,65","10,56K","-2,32%"
"16.01.2026","30,65","28,92","31,44","28,83","16,63K","7,30%"
"15.01.2026","28,57","27,65","28,95","27,43","12,05K","4,31%"
"14.01.2026","27,39","27,27","28,09","26,91","12,70K","-0,19%"
"13.01.2026","27,44","28,25","28,27","27,25","15,94K","0,07%"
"12.01.2026","27,42","27,05","27,63","27,05","12,50K","2,98%"
"09.01.2026","26,63","26,25","26,76","26,22","4,94K","1,49%"
"08.01.2026","26,24","26,06","26,34","25,83","3,77K","-2,78%"
"07.01.2026","26,99","26,89","27,26","26,48","8,37K","1,23%"
"06.01.2026","26,66","26,63","26,77","26,34","3,17K","1,47%"
"05.01.2026","26,27","26,86","26,97","26,07","4,68K","-4,31%"
"02.01.2026","27,46","27,15","27,50","26,99","3,53K","2,23%"
"31.12.2025","26,86","26,58","27,10","26,55","1,23K","-2,36%"
"30.12.2025","27,51","28,01","28,16","27,28","2,22K","-2,68%"
"29.12.2025","28,27","28,30","28,60","27,90","3,19K","1,40%"
"24.12.2025","27,88","27,56","28,06","27,40","1,18K","1,36%"
"23.12.2025","27,50","27,48","27,64","27,05","4,79K","0,18%"
"22.12.2025","27,45","27,74","27,87","27,42","3,99K","-1,47%"
"19.12.2025","27,86","27,70","28,20","27,39","10,82K","1,73%"
"18.12.2025","27,39","27,15","27,67","26,88","9,08K","1,13%"
"17.12.2025","27,08","26,90","27,33","26,78","8,21K","2,03%"
"16.12.2025","26,54","26,89","26,90","26,40","6,10K","-2,39%"
"15.12.2025","27,19","27,70","27,80","26,77","6,13K","-1,09%"
"12.12.2025","27,49","26,89","27,55","26,76","7,65K","3,05%"
"11.12.2025","26,68","26,94","26,95","26,43","5,20K","0,61%"
"10.12.2025","26,52","27,17","27,17","26,46","8,56K","-3,18%"
"09.12.2025","27,39","27,00","27,59","26,92","6,73K","2,07%"
"08.12.2025","26,83","27,18","27,75","26,70","6,45K","-1,61%"
"05.12.2025","27,27","26,84","27,45","26,84","8,08K","0,62%"
"04.12.2025","27,10","27,97","27,97","27,02","11,00K","-3,82%"
"03.12.2025","28,18","27,99","28,27","27,67","6,73K","0,64%"
"02.12.2025","28,00","27,90","28,23","27,49","10,80K","-0,60%"
"01.12.2025","28,17","28,30","28,38","27,72","13,96K","-1,99%"
"28.11.2025","28,74","29,30","29,44","28,57","6,98K","-1,22%"
"27.11.2025","29,09","29,18","29,25","28,91","8,36K","-1,02%"
"26.11.2025","29,39","29,52","29,64","29,17","6,24K","-0,18%"
"25.11.2025","29,44","29,70","29,89","29,09","14,03K","-1,09%"
"24.11.2025","29,77","29,90","30,06","29,26","11,17K","-1,40%"
"21.11.2025","30,19","30,70","30,70","30,12","13,13K","-3,09%"
"20.11.2025","31,15","31,04","31,31","30,74","8,64K","0,54%"
"19.11.2025","30,99","31,35","31,36","30,74","12,88K","-2,13%"
"18.11.2025","31,66","31,60","31,95","31,39","10,18K","0,76%"
"17.11.2025","31,42","31,50","31,67","31,22","7,01K","0,42%"
"14.11.2025","31,29","30,65","31,31","30,65","11,12K","2,24%"
"13.11.2025","30,60","31,12","31,13","30,45","7,28K","-1,38%"
"12.11.2025","31,03","31,42","31,68","30,91","6,25K","-0,68%"
"11.11.2025","31,24","31,10","31,33","31,00","5,00K","0,08%"
"10.11.2025","31,22","31,45","31,50","30,98","7,73K","-0,49%"
"07.11.2025","31,37","31,75","31,79","31,30","6,90K","-1,05%"
"06.11.2025","31,70","31,60","31,92","31,52","7,26K","-0,80%"
"05.11.2025","31,96","32,17","32,17","31,82","8,08K","-1,82%"
