"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"04.02.2026","29,84","30,25","30,43","29,70","2,44K","0,39%"
"03.02.2026","29,72","29,41","29,88","28,77","6,31K","-1,31%"
"02.02.2026","30,12","31,25","31,25","29,68","7,47K","-7,07%"
"30.01.2026","32,41","32,20","32,80","31,40","6,51K","1,70%"
"29.01.2026","31,87","30,40","32,00","30,40","11,14K","5,89%"
"28.01.2026","30,09","30,00","30,36","29,00","6,62K","2,15%"
"27.01.2026","29,46","29,77","30,33","28,92","10,45K","-1,49%"
"26.01.2026","29,91","32,79","32,79","29,77","9,79K","-2,90%"
"23.01.2026","30,80","30,50","31,17","29,62","10,99K","0,86%"
"22.01.2026","30,54","31,25","33,11","30,33","15,34K","-2,27%"
"21.01.2026","31,25","29,04","31,75","28,83","13,67K","4,54%"
"20.01.2026","29,89","29,75","30,95","29,02","16,60K","1,15%"
"19.01.2026","29,55","29,94","29,94","28,35","13,98K","-2,11%"
"16.01.2026","30,19","28,80","30,97","28,50","26,40K","6,83%"
"15.01.2026","28,26","27,38","28,60","27,13","21,51K","4,20%"
"14.01.2026","27,12","27,08","27,83","26,73","12,50K","-0,35%"
"13.01.2026","27,22","28,00","28,07","27,09","14,99K","-0,17%"
"12.01.2026","27,26","26,90","27,50","26,90","15,59K","2,62%"
"09.01.2026","26,57","26,25","26,70","26,18","13,33K","1,32%"
"08.01.2026","26,22","26,08","26,33","25,81","6,71K","-2,75%"
"07.01.2026","26,96","26,80","27,19","26,43","9,59K","1,13%"
"06.01.2026","26,66","26,49","26,76","26,37","4,96K","1,38%"
"05.01.2026","26,30","26,77","26,98","26,07","5,71K","-4,16%"
"02.01.2026","27,44","27,25","27,48","26,98","3,68K","2,16%"
"31.12.2025","26,86","26,63","27,10","26,53","2,86K","1,38%"
"30.12.2025","26,49","26,90","27,00","26,22","4,56K","-1,97%"
"29.12.2025","27,03","26,99","27,30","26,66","2,94K","0,84%"
"24.12.2025","26,80","26,49","26,91","26,38","1,83K","1,36%"
"23.12.2025","26,44","26,45","26,57","26,08","4,64K","0,25%"
"22.12.2025","26,37","26,40","26,64","26,21","3,82K","-0,43%"
"19.12.2025","26,49","26,40","26,69","26,10","7,35K","1,42%"
"18.12.2025","26,12","25,99","26,38","25,63","8,84K","0,89%"
"17.12.2025","25,89","25,81","26,13","25,74","4,95K","1,68%"
"16.12.2025","25,46","25,86","25,94","25,30","4,98K","-2,49%"
"15.12.2025","26,11","26,48","26,50","25,73","3,86K","-0,97%"
"12.12.2025","26,36","25,83","26,42","25,80","4,79K","2,28%"
"11.12.2025","25,78","26,05","26,05","25,58","4,48K","0,50%"
"10.12.2025","25,65","26,18","26,23","25,60","7,27K","-2,81%"
"09.12.2025","26,39","26,20","26,57","26,05","4,10K","1,45%"
"08.12.2025","26,01","26,31","26,83","25,92","3,82K","-1,67%"
"05.12.2025","26,45","26,25","26,59","26,15","5,50K","0,39%"
"04.12.2025","26,35","27,01","27,01","26,29","7,65K","-3,00%"
"03.12.2025","27,17","27,08","27,24","26,64","6,48K","0,87%"
"02.12.2025","26,93","26,81","27,08","26,49","6,55K","-0,33%"
"01.12.2025","27,02","27,09","27,18","26,59","7,02K","-1,60%"
"28.11.2025","27,46","27,82","28,04","27,33","4,52K","-1,06%"
"27.11.2025","27,75","27,80","27,87","27,58","4,33K","-0,61%"
"26.11.2025","27,92","27,93","28,14","27,72","4,15K","-0,12%"
"25.11.2025","27,96","28,24","28,40","27,71","5,21K","-1,15%"
"24.11.2025","28,28","28,47","28,47","27,80","5,02K","-0,83%"
"21.11.2025","28,52","28,80","29,06","28,49","5,99K","-3,23%"
"20.11.2025","29,47","29,39","29,70","29,14","5,39K","0,32%"
"19.11.2025","29,38","29,58","29,66","29,15","5,71K","-1,69%"
"18.11.2025","29,88","29,93","30,17","29,65","5,85K","0,46%"
"17.11.2025","29,75","29,90","30,03","29,63","4,93K","0,07%"
"14.11.2025","29,73","29,35","29,77","29,23","5,04K","1,62%"
"13.11.2025","29,25","29,52","29,52","29,13","3,91K","-0,97%"
"12.11.2025","29,54","29,90","30,10","29,45","6,30K","-0,74%"
"11.11.2025","29,76","29,77","29,85","29,52","2,48K","-0,02%"
"10.11.2025","29,77","29,83","29,98","29,55","3,77K","-0,29%"
"07.11.2025","29,85","30,14","30,14","29,79","3,85K","-0,82%"
"06.11.2025","30,10","29,93","30,30","29,93","4,36K","-0,56%"
"05.11.2025","30,27","30,35","30,42","30,17","4,13K","-1,39%"
"04.11.2025","30,70","30,35","30,70","30,26","5,21K","1,76%"
"03.11.2025","30,16","29,99","30,30","29,97","2,81K","1,48%"
"31.10.2025","29,72","29,90","30,08","29,66","3,12K","-0,63%"
"30.10.2025","29,91","30,15","30,33","29,90","3,27K","-1,09%"
"29.10.2025","30,24","30,20","30,25","29,96","3,01K","0,79%"
"28.10.2025","30,01","29,95","30,25","29,78","3,88K","0,10%"
"27.10.2025","29,98","30,35","30,45","29,82","5,38K","-1,91%"
"24.10.2025","30,56","30,62","30,80","30,46","3,81K","-1,04%"
"23.10.2025","30,88","30,80","31,20","30,65","7,79K","1,88%"
"22.10.2025","30,31","30,41","30,55","30,23","2,49K","-0,28%"
"21.10.2025","30,40","30,03","30,48","29,81","3,56K","1,38%"
"20.10.2025","29,98","30,05","30,11","29,81","2,31K","-0,39%"
"17.10.2025","30,10","30,30","30,40","30,05","3,50K","-1,33%"
"16.10.2025","30,51","30,52","30,92","30,38","6,96K","0,71%"
"15.10.2025","30,29","30,35","30,45","30,00","3,56K","-0,02%"
"14.10.2025","30,30","30,10","30,40","29,92","3,84K","0,38%"
"13.10.2025","30,18","30,36","30,40","30,13","2,83K","-1,51%"
"10.10.2025","30,65","30,73","30,76","30,41","2,83K","-0,75%"
"09.10.2025","30,88","30,83","31,02","30,75","2,58K","-0,83%"
"08.10.2025","31,14","31,68","31,68","31,02","4,23K","-0,82%"
"07.10.2025","31,39","31,55","31,73","31,17","5,82K","-0,04%"
"06.10.2025","31,40","30,88","31,50","30,74","7,11K","3,26%"
"03.10.2025","30,41","30,30","30,69","30,20","3,60K","-0,31%"
"02.10.2025","30,51","30,59","30,73","30,14","4,71K","0,15%"
"01.10.2025","30,46","30,40","30,61","29,93","4,84K","-0,05%"
"30.09.2025","30,48","31,25","31,26","30,44","5,73K","-7,01%"
"29.09.2025","32,77","33,03","33,05","32,67","0,73K","-1,64%"
"26.09.2025","33,32","33,29","33,35","33,04","1,37K","0,74%"
"25.09.2025","33,07","32,90","33,27","32,85","2,60K","1,40%"
"24.09.2025","32,62","32,95","33,03","32,58","2,41K","-0,98%"
"23.09.2025","32,94","32,81","33,12","32,60","1,54K","1,02%"
"22.09.2025","32,61","33,05","33,25","32,55","2,10K","-1,55%"
"19.09.2025","33,12","33,55","33,72","32,98","3,37K","-1,76%"
"18.09.2025","33,71","33,33","33,85","33,33","2,20K","1,16%"
"17.09.2025","33,33","33,55","33,69","33,26","2,05K","0,10%"
"16.09.2025","33,29","32,96","33,39","32,64","2,20K","0,48%"
"15.09.2025","33,13","33,53","33,53","32,90","1,86K","-1,25%"
"12.09.2025","33,56","33,08","33,78","32,88","2,98K","0,99%"
"11.09.2025","33,23","33,85","34,04","33,17","2,56K","-1,92%"
"10.09.2025","33,88","33,75","34,19","33,55","2,16K","0,48%"
"09.09.2025","33,72","34,13","34,13","32,94","3,55K","-0,48%"
"08.09.2025","33,88","33,20","33,99","33,19","5,00K","2,95%"
"05.09.2025","32,91","33,42","33,62","32,76","2,60K","-1,22%"
"04.09.2025","33,31","33,03","33,56","32,70","3,12K","0,84%"
"03.09.2025","33,03","32,76","33,31","32,40","4,62K","0,88%"
"02.09.2025","32,74","33,28","33,60","32,57","2,95K","-0,69%"
"01.09.2025","32,97","32,35","33,26","32,33","1,79K","1,34%"
"29.08.2025","32,54","32,67","32,88","32,22","4,19K","-0,12%"
"28.08.2025","32,58","33,15","33,20","32,04","6,28K","-2,62%"
"27.08.2025","33,45","34,10","34,15","33,33","2,55K","-2,37%"
"26.08.2025","34,26","34,42","34,65","34,10","2,31K","-1,26%"
"25.08.2025","34,70","34,44","34,80","34,00","0,86K","0,53%"
"22.08.2025","34,52","34,36","34,69","34,09","4,61K","0,58%"
"21.08.2025","34,32","33,49","34,45","32,76","4,93K","3,36%"
"20.08.2025","33,21","32,69","33,51","32,63","4,08K","1,83%"
"19.08.2025","32,61","32,23","32,81","32,13","3,02K","-0,07%"
"18.08.2025","32,63","32,60","32,79","31,68","3,76K","0,53%"
"15.08.2025","32,46","33,81","33,81","32,25","4,81K","-3,35%"
"14.08.2025","33,58","34,10","34,13","33,38","2,78K","-1,15%"
"13.08.2025","33,97","34,00","34,22","33,87","1,94K","0,43%"
"12.08.2025","33,83","34,54","34,67","33,72","1,92K","-1,57%"
"11.08.2025","34,37","33,74","34,53","33,66","2,36K","1,38%"
"08.08.2025","33,90","34,36","34,85","33,65","4,64K","-1,60%"
"07.08.2025","34,45","34,62","34,71","34,33","2,21K","-1,03%"
"06.08.2025","34,81","35,63","35,69","34,65","3,47K","-2,91%"
"05.08.2025","35,85","35,73","35,92","35,35","2,45K","0,12%"
"04.08.2025","35,80","35,30","35,91","35,10","2,69K","0,84%"
"01.08.2025","35,51","36,80","36,80","35,29","3,26K","-3,08%"
"31.07.2025","36,63","36,50","36,80","36,03","2,28K","0,06%"
"30.07.2025","36,61","36,75","36,86","35,65","4,23K","1,15%"
"29.07.2025","36,20","35,53","36,35","35,31","5,04K","3,03%"
"28.07.2025","35,13","34,53","35,35","34,31","3,84K","1,43%"
"25.07.2025","34,64","34,56","34,85","34,03","2,80K","0,61%"
"24.07.2025","34,43","34,73","35,04","34,17","4,01K","-0,22%"
"23.07.2025","34,50","35,06","35,42","34,37","4,23K","-0,86%"
"22.07.2025","34,80","35,00","35,18","34,65","3,51K","-0,14%"
"21.07.2025","34,85","35,25","35,49","34,83","3,48K","-1,40%"
"18.07.2025","35,35","35,90","36,34","35,20","4,28K","-1,66%"
"17.07.2025","35,94","36,51","36,76","35,88","3,53K","-1,05%"
"16.07.2025","36,33","36,24","36,63","35,95","3,35K","0,30%"
"15.07.2025","36,22","36,82","36,87","35,95","3,58K","-2,23%"
"14.07.2025","37,04","37,10","37,68","36,69","4,43K","-0,11%"
"11.07.2025","37,08","36,77","37,22","36,37","4,56K","0,77%"
"10.07.2025","36,80","36,48","37,02","36,42","4,02K","1,84%"
"09.07.2025","36,14","36,15","36,58","35,94","2,99K","0,51%"
"08.07.2025","35,95","35,96","36,31","35,58","3,78K","0,66%"
"07.07.2025","35,72","35,60","36,15","35,25","1,84K","0,13%"
"04.07.2025","35,67","35,93","36,10","35,48","1,63K","-0,22%"
"03.07.2025","35,75","35,60","36,20","35,47","2,92K","0,22%"
"02.07.2025","35,67","35,75","36,25","35,35","4,02K","0,50%"
"01.07.2025","35,49","35,15","35,80","34,61","5,82K","1,80%"
"30.06.2025","34,87","35,50","35,50","34,55","5,85K","-2,03%"
"27.06.2025","35,59","36,42","36,44","35,40","6,70K","-2,21%"
"26.06.2025","36,39","37,66","37,67","36,01","6,98K","-2,93%"
"25.06.2025","37,49","37,22","38,00","37,17","5,71K","0,10%"
"24.06.2025","37,46","38,46","38,55","36,83","13,52K","-10,76%"
"23.06.2025","41,97","43,72","44,04","41,72","8,40K","-1,39%"
"20.06.2025","42,57","42,25","42,84","41,28","6,44K","-1,17%"
"19.06.2025","43,07","41,06","43,38","41,06","7,14K","6,70%"
"18.06.2025","40,37","40,80","41,87","40,24","8,92K","-1,04%"
"17.06.2025","40,79","39,85","41,10","39,67","7,26K","3,28%"
"16.06.2025","39,50","39,51","41,06","38,90","8,45K","0,53%"
"13.06.2025","39,29","38,80","39,98","38,46","9,76K","4,23%"
"12.06.2025","37,69","37,88","38,04","37,17","3,97K","0,86%"
"11.06.2025","37,37","36,63","37,58","36,62","5,31K","3,02%"
"10.06.2025","36,27","37,01","37,13","36,08","4,76K","-2,29%"
"09.06.2025","37,12","37,70","37,70","36,95","3,42K","-1,25%"
