date,year,month,day,dayofyear,hour,week,dayofweek,price,period_start_utc,period_end_utc,c_by_hour
2015-01-04,2015,1,4,4,23,1,6,22.34,2015-01-04 23:00:00,2015-01-05 00:00:00,1
2015-01-05,2015,1,5,5,0,2,0,17.93,2015-01-05 00:00:00,2015-01-05 01:00:00,1
2015-01-05,2015,1,5,5,1,2,0,15.17,2015-01-05 01:00:00,2015-01-05 02:00:00,1
2015-01-05,2015,1,5,5,2,2,0,16.38,2015-01-05 02:00:00,2015-01-05 03:00:00,1
2015-01-05,2015,1,5,5,3,2,0,17.38,2015-01-05 03:00:00,2015-01-05 04:00:00,1
2015-01-05,2015,1,5,5,4,2,0,16.38,2015-01-05 04:00:00,2015-01-05 05:00:00,1
2015-01-05,2015,1,5,5,5,2,0,26.61,2015-01-05 05:00:00,2015-01-05 06:00:00,1
2015-01-05,2015,1,5,5,6,2,0,37.63,2015-01-05 06:00:00,2015-01-05 07:00:00,1
2015-01-05,2015,1,5,5,7,2,0,39.09,2015-01-05 07:00:00,2015-01-05 08:00:00,1
2015-01-05,2015,1,5,5,8,2,0,41.51,2015-01-05 08:00:00,2015-01-05 09:00:00,1
2015-01-05,2015,1,5,5,9,2,0,40.46,2015-01-05 09:00:00,2015-01-05 10:00:00,1
2015-01-05,2015,1,5,5,10,2,0,40.97,2015-01-05 10:00:00,2015-01-05 11:00:00,1
2015-01-05,2015,1,5,5,11,2,0,40.72,2015-01-05 11:00:00,2015-01-05 12:00:00,1
2015-01-05,2015,1,5,5,12,2,0,41.92,2015-01-05 12:00:00,2015-01-05 13:00:00,1
2015-01-05,2015,1,5,5,13,2,0,42.0,2015-01-05 13:00:00,2015-01-05 14:00:00,1
2015-01-05,2015,1,5,5,14,2,0,43.1,2015-01-05 14:00:00,2015-01-05 15:00:00,1
2015-01-05,2015,1,5,5,15,2,0,46.7,2015-01-05 15:00:00,2015-01-05 16:00:00,1
2015-01-05,2015,1,5,5,16,2,0,56.78,2015-01-05 16:00:00,2015-01-05 17:00:00,1
2015-01-05,2015,1,5,5,17,2,0,58.84,2015-01-05 17:00:00,2015-01-05 18:00:00,1
2015-01-05,2015,1,5,5,18,2,0,49.23,2015-01-05 18:00:00,2015-01-05 19:00:00,1
2015-01-05,2015,1,5,5,19,2,0,44.32,2015-01-05 19:00:00,2015-01-05 20:00:00,1
2015-01-05,2015,1,5,5,20,2,0,40.0,2015-01-05 20:00:00,2015-01-05 21:00:00,1
2015-01-05,2015,1,5,5,21,2,0,35.08,2015-01-05 21:00:00,2015-01-05 22:00:00,1
2015-01-05,2015,1,5,5,22,2,0,35.08,2015-01-05 22:00:00,2015-01-05 23:00:00,1
2015-01-05,2015,1,5,5,23,2,0,30.02,2015-01-05 23:00:00,2015-01-06 00:00:00,1
2015-01-06,2015,1,6,6,0,2,1,30.57,2015-01-06 00:00:00,2015-01-06 01:00:00,1
2015-01-06,2015,1,6,6,1,2,1,30.25,2015-01-06 01:00:00,2015-01-06 02:00:00,1
2015-01-06,2015,1,6,6,2,2,1,30.29,2015-01-06 02:00:00,2015-01-06 03:00:00,1
2015-01-06,2015,1,6,6,3,2,1,30.63,2015-01-06 03:00:00,2015-01-06 04:00:00,1
2015-01-06,2015,1,6,6,4,2,1,29.64,2015-01-06 04:00:00,2015-01-06 05:00:00,1
2015-01-06,2015,1,6,6,5,2,1,29.67,2015-01-06 05:00:00,2015-01-06 06:00:00,1
2015-01-06,2015,1,6,6,6,2,1,38.82,2015-01-06 06:00:00,2015-01-06 07:00:00,1
2015-01-06,2015,1,6,6,7,2,1,40.76,2015-01-06 07:00:00,2015-01-06 08:00:00,1
2015-01-06,2015,1,6,6,8,2,1,40.02,2015-01-06 08:00:00,2015-01-06 09:00:00,1
2015-01-06,2015,1,6,6,9,2,1,33.99,2015-01-06 09:00:00,2015-01-06 10:00:00,1
2015-01-06,2015,1,6,6,10,2,1,31.22,2015-01-06 10:00:00,2015-01-06 11:00:00,1
2015-01-06,2015,1,6,6,11,2,1,30.06,2015-01-06 11:00:00,2015-01-06 12:00:00,1
2015-01-06,2015,1,6,6,12,2,1,29.99,2015-01-06 12:00:00,2015-01-06 13:00:00,1
2015-01-06,2015,1,6,6,13,2,1,30.73,2015-01-06 13:00:00,2015-01-06 14:00:00,1
2015-01-06,2015,1,6,6,14,2,1,37.38,2015-01-06 14:00:00,2015-01-06 15:00:00,1
2015-01-06,2015,1,6,6,15,2,1,40.32,2015-01-06 15:00:00,2015-01-06 16:00:00,1
2015-01-06,2015,1,6,6,16,2,1,45.96,2015-01-06 16:00:00,2015-01-06 17:00:00,1
2015-01-06,2015,1,6,6,17,2,1,45.71,2015-01-06 17:00:00,2015-01-06 18:00:00,1
2015-01-06,2015,1,6,6,18,2,1,39.57,2015-01-06 18:00:00,2015-01-06 19:00:00,1
2015-01-06,2015,1,6,6,19,2,1,32.92,2015-01-06 19:00:00,2015-01-06 20:00:00,1
2015-01-06,2015,1,6,6,20,2,1,29.15,2015-01-06 20:00:00,2015-01-06 21:00:00,1
2015-01-06,2015,1,6,6,21,2,1,28.46,2015-01-06 21:00:00,2015-01-06 22:00:00,1
2015-01-06,2015,1,6,6,22,2,1,28.46,2015-01-06 22:00:00,2015-01-06 23:00:00,1
2015-01-06,2015,1,6,6,23,2,1,24.97,2015-01-06 23:00:00,2015-01-07 00:00:00,1
2015-01-07,2015,1,7,7,0,2,2,24.65,2015-01-07 00:00:00,2015-01-07 01:00:00,1
2015-01-07,2015,1,7,7,1,2,2,24.68,2015-01-07 01:00:00,2015-01-07 02:00:00,1
2015-01-07,2015,1,7,7,2,2,2,25.06,2015-01-07 02:00:00,2015-01-07 03:00:00,1
2015-01-07,2015,1,7,7,3,2,2,26.1,2015-01-07 03:00:00,2015-01-07 04:00:00,1
2015-01-07,2015,1,7,7,4,2,2,26.95,2015-01-07 04:00:00,2015-01-07 05:00:00,1
2015-01-07,2015,1,7,7,5,2,2,31.43,2015-01-07 05:00:00,2015-01-07 06:00:00,1
2015-01-07,2015,1,7,7,6,2,2,45.98,2015-01-07 06:00:00,2015-01-07 07:00:00,1
2015-01-07,2015,1,7,7,7,2,2,47.91,2015-01-07 07:00:00,2015-01-07 08:00:00,1
2015-01-07,2015,1,7,7,8,2,2,48.91,2015-01-07 08:00:00,2015-01-07 09:00:00,1
2015-01-07,2015,1,7,7,9,2,2,50.0,2015-01-07 09:00:00,2015-01-07 10:00:00,1
2015-01-07,2015,1,7,7,10,2,2,51.22,2015-01-07 10:00:00,2015-01-07 11:00:00,1
2015-01-07,2015,1,7,7,11,2,2,50.15,2015-01-07 11:00:00,2015-01-07 12:00:00,1
2015-01-07,2015,1,7,7,12,2,2,51.46,2015-01-07 12:00:00,2015-01-07 13:00:00,1
2015-01-07,2015,1,7,7,13,2,2,50.88,2015-01-07 13:00:00,2015-01-07 14:00:00,1
