date,year,month,day,dayofyear,hour,week,dayofweek,load_forecast_da,load_actual,period_start_utc,period_end_utc,c_by_hour
2014-12-31,2014,12,31,365,23,1,2,49306.25,51492.3825,2014-12-31 23:00:00,2015-01-01 00:00:00,4
2015-01-01,2015,1,1,1,0,1,3,46952.66,50200.317500000005,2015-01-01 00:00:00,2015-01-01 01:00:00,4
2015-01-01,2015,1,1,1,1,1,3,45751.5975,48431.3625,2015-01-01 01:00:00,2015-01-01 02:00:00,4
2015-01-01,2015,1,1,1,2,1,3,45306.130000000005,46682.685,2015-01-01 02:00:00,2015-01-01 03:00:00,4
2015-01-01,2015,1,1,1,3,1,3,45422.845,45896.3325,2015-01-01 03:00:00,2015-01-01 04:00:00,4
2015-01-01,2015,1,1,1,4,1,3,45701.5575,45284.09,2015-01-01 04:00:00,2015-01-01 05:00:00,4
2015-01-01,2015,1,1,1,5,1,3,44075.8,44069.2625,2015-01-01 05:00:00,2015-01-01 06:00:00,4
2015-01-01,2015,1,1,1,6,1,3,47503.4,44721.3275,2015-01-01 06:00:00,2015-01-01 07:00:00,4
2015-01-01,2015,1,1,1,7,1,3,49866.0,45839.1975,2015-01-01 07:00:00,2015-01-01 08:00:00,4
2015-01-01,2015,1,1,1,8,1,3,52540.3525,48965.425,2015-01-01 08:00:00,2015-01-01 09:00:00,4
2015-01-01,2015,1,1,1,9,1,3,54850.405,51902.8925,2015-01-01 09:00:00,2015-01-01 10:00:00,4
2015-01-01,2015,1,1,1,10,1,3,57474.765,55042.442500000005,2015-01-01 10:00:00,2015-01-01 11:00:00,4
2015-01-01,2015,1,1,1,11,1,3,57693.39,56352.4075,2015-01-01 11:00:00,2015-01-01 12:00:00,4
2015-01-01,2015,1,1,1,12,1,3,55233.005,55333.17,2015-01-01 12:00:00,2015-01-01 13:00:00,4
2015-01-01,2015,1,1,1,13,1,3,54719.604999999996,54303.5125,2015-01-01 13:00:00,2015-01-01 14:00:00,4
2015-01-01,2015,1,1,1,14,1,3,54936.957500000004,54084.645000000004,2015-01-01 14:00:00,2015-01-01 15:00:00,4
2015-01-01,2015,1,1,1,15,1,3,56718.4375,56513.4475,2015-01-01 15:00:00,2015-01-01 16:00:00,4
2015-01-01,2015,1,1,1,16,1,3,60389.045,61179.4,2015-01-01 16:00:00,2015-01-01 17:00:00,4
2015-01-01,2015,1,1,1,17,1,3,61435.207500000004,61772.38,2015-01-01 17:00:00,2015-01-01 18:00:00,4
2015-01-01,2015,1,1,1,18,1,3,60430.7675,61201.667499999996,2015-01-01 18:00:00,2015-01-01 19:00:00,4
2015-01-01,2015,1,1,1,19,1,3,57568.67,58850.939999999995,2015-01-01 19:00:00,2015-01-01 20:00:00,4
2015-01-01,2015,1,1,1,20,1,3,55394.815,57186.6,2015-01-01 20:00:00,2015-01-01 21:00:00,4
2015-01-01,2015,1,1,1,21,1,3,55242.685,57200.6775,2015-01-01 21:00:00,2015-01-01 22:00:00,4
2015-01-01,2015,1,1,1,22,1,3,52134.1975,54123.265,2015-01-01 22:00:00,2015-01-01 23:00:00,4
2015-01-01,2015,1,1,1,23,1,3,46958.625,50736.3875,2015-01-01 23:00:00,2015-01-02 00:00:00,4
2015-01-02,2015,1,2,2,0,1,4,45447.6325,48554.2075,2015-01-02 00:00:00,2015-01-02 01:00:00,4
2015-01-02,2015,1,2,2,1,1,4,44504.57,47443.075,2015-01-02 01:00:00,2015-01-02 02:00:00,4
2015-01-02,2015,1,2,2,2,1,4,44499.957500000004,47108.4525,2015-01-02 02:00:00,2015-01-02 03:00:00,4
2015-01-02,2015,1,2,2,3,1,4,45682.177500000005,47919.585,2015-01-02 03:00:00,2015-01-02 04:00:00,4
2015-01-02,2015,1,2,2,4,1,4,47670.354999999996,49617.0775,2015-01-02 04:00:00,2015-01-02 05:00:00,4
2015-01-02,2015,1,2,2,5,1,4,51053.0275,52457.4825,2015-01-02 05:00:00,2015-01-02 06:00:00,4
2015-01-02,2015,1,2,2,6,1,4,57470.6175,57493.89,2015-01-02 06:00:00,2015-01-02 07:00:00,4
2015-01-02,2015,1,2,2,7,1,4,60227.65,61918.6225,2015-01-02 07:00:00,2015-01-02 08:00:00,4
2015-01-02,2015,1,2,2,8,1,4,61799.84,65159.427500000005,2015-01-02 08:00:00,2015-01-02 09:00:00,4
2015-01-02,2015,1,2,2,9,1,4,63124.335,67381.025,2015-01-02 09:00:00,2015-01-02 10:00:00,4
2015-01-02,2015,1,2,2,10,1,4,64366.4775,68773.4075,2015-01-02 10:00:00,2015-01-02 11:00:00,4
2015-01-02,2015,1,2,2,11,1,4,64094.6375,68772.93,2015-01-02 11:00:00,2015-01-02 12:00:00,4
2015-01-02,2015,1,2,2,12,1,4,61972.08,67621.6625,2015-01-02 12:00:00,2015-01-02 13:00:00,4
2015-01-02,2015,1,2,2,13,1,4,61529.6225,66477.59,2015-01-02 13:00:00,2015-01-02 14:00:00,4
2015-01-02,2015,1,2,2,14,1,4,61547.205,65952.6425,2015-01-02 14:00:00,2015-01-02 15:00:00,4
2015-01-02,2015,1,2,2,15,1,4,63086.84,67752.7175,2015-01-02 15:00:00,2015-01-02 16:00:00,4
2015-01-02,2015,1,2,2,16,1,4,66175.6475,69875.3475,2015-01-02 16:00:00,2015-01-02 17:00:00,4
2015-01-02,2015,1,2,2,17,1,4,66062.6575,70136.3775,2015-01-02 17:00:00,2015-01-02 18:00:00,4
2015-01-02,2015,1,2,2,18,1,4,63967.6125,68270.7975,2015-01-02 18:00:00,2015-01-02 19:00:00,4
2015-01-02,2015,1,2,2,19,1,4,59697.2225,63839.04,2015-01-02 19:00:00,2015-01-02 20:00:00,4
2015-01-02,2015,1,2,2,20,1,4,55230.6775,61409.7875,2015-01-02 20:00:00,2015-01-02 21:00:00,4
2015-01-02,2015,1,2,2,21,1,4,53440.325,59746.4775,2015-01-02 21:00:00,2015-01-02 22:00:00,4
2015-01-02,2015,1,2,2,22,1,4,51587.354999999996,53769.49,2015-01-02 22:00:00,2015-01-02 23:00:00,4
2015-01-02,2015,1,2,2,23,1,4,49303.707500000004,50877.7025,2015-01-02 23:00:00,2015-01-03 00:00:00,4
2015-01-03,2015,1,3,3,0,1,5,47681.68,48472.4675,2015-01-03 00:00:00,2015-01-03 01:00:00,4
2015-01-03,2015,1,3,3,1,1,5,46503.7875,46747.1375,2015-01-03 01:00:00,2015-01-03 02:00:00,4
2015-01-03,2015,1,3,3,2,1,5,46426.604999999996,46276.9425,2015-01-03 02:00:00,2015-01-03 03:00:00,4
2015-01-03,2015,1,3,3,3,1,5,46867.7425,46703.6075,2015-01-03 03:00:00,2015-01-03 04:00:00,4
2015-01-03,2015,1,3,3,4,1,5,46871.3725,47093.2025,2015-01-03 04:00:00,2015-01-03 05:00:00,4
2015-01-03,2015,1,3,3,5,1,5,47253.307499999995,48339.435,2015-01-03 05:00:00,2015-01-03 06:00:00,4
2015-01-03,2015,1,3,3,6,1,5,50228.58,50923.915,2015-01-03 06:00:00,2015-01-03 07:00:00,4
2015-01-03,2015,1,3,3,7,1,5,54075.3725,54178.604999999996,2015-01-03 07:00:00,2015-01-03 08:00:00,4
2015-01-03,2015,1,3,3,8,1,5,57348.81,57832.2975,2015-01-03 08:00:00,2015-01-03 09:00:00,4
