date,year,month,day,dayofyear,hour,week,dayofweek,on_wind_da,on_wind_act,period_start_utc,period_end_utc,c_by_hour
2014-12-31,2014,12,31,365,23,1,2,7648.88,8925.49,2014-12-31 23:00:00,2015-01-01 00:00:00,4
2015-01-01,2015,1,1,1,0,1,3,8212.41,9129.9925,2015-01-01 00:00:00,2015-01-01 01:00:00,4
2015-01-01,2015,1,1,1,1,1,3,8340.657500000001,9287.08,2015-01-01 01:00:00,2015-01-01 02:00:00,4
2015-01-01,2015,1,1,1,2,1,3,8408.77,9232.5225,2015-01-01 02:00:00,2015-01-01 03:00:00,4
2015-01-01,2015,1,1,1,3,1,3,8581.785,9319.295,2015-01-01 03:00:00,2015-01-01 04:00:00,4
2015-01-01,2015,1,1,1,4,1,3,8745.0975,9658.79,2015-01-01 04:00:00,2015-01-01 05:00:00,4
2015-01-01,2015,1,1,1,5,1,3,8932.8625,10197.79,2015-01-01 05:00:00,2015-01-01 06:00:00,4
2015-01-01,2015,1,1,1,6,1,3,9275.877499999999,10752.49,2015-01-01 06:00:00,2015-01-01 07:00:00,4
2015-01-01,2015,1,1,1,7,1,3,9722.985,10719.744999999999,2015-01-01 07:00:00,2015-01-01 08:00:00,4
2015-01-01,2015,1,1,1,8,1,3,10165.884999999998,10827.310000000001,2015-01-01 08:00:00,2015-01-01 09:00:00,4
2015-01-01,2015,1,1,1,9,1,3,10461.575,11234.9975,2015-01-01 09:00:00,2015-01-01 10:00:00,4
2015-01-01,2015,1,1,1,10,1,3,10516.7575,11771.205,2015-01-01 10:00:00,2015-01-01 11:00:00,4
2015-01-01,2015,1,1,1,11,1,3,10531.07,12375.17,2015-01-01 11:00:00,2015-01-01 12:00:00,4
2015-01-01,2015,1,1,1,12,1,3,10677.345000000001,12740.21,2015-01-01 12:00:00,2015-01-01 13:00:00,4
2015-01-01,2015,1,1,1,13,1,3,10910.7875,12544.21,2015-01-01 13:00:00,2015-01-01 14:00:00,4
2015-01-01,2015,1,1,1,14,1,3,11404.880000000001,12726.6,2015-01-01 14:00:00,2015-01-01 15:00:00,4
2015-01-01,2015,1,1,1,15,1,3,12032.307499999999,14283.7575,2015-01-01 15:00:00,2015-01-01 16:00:00,4
2015-01-01,2015,1,1,1,16,1,3,12678.4575,16148.455000000002,2015-01-01 16:00:00,2015-01-01 17:00:00,4
2015-01-01,2015,1,1,1,17,1,3,13432.2625,17478.0375,2015-01-01 17:00:00,2015-01-01 18:00:00,4
2015-01-01,2015,1,1,1,18,1,3,14362.2575,18427.5975,2015-01-01 18:00:00,2015-01-01 19:00:00,4
2015-01-01,2015,1,1,1,19,1,3,15468.16,19424.372499999998,2015-01-01 19:00:00,2015-01-01 20:00:00,4
2015-01-01,2015,1,1,1,20,1,3,16652.1525,20264.3575,2015-01-01 20:00:00,2015-01-01 21:00:00,4
2015-01-01,2015,1,1,1,21,1,3,17939.285,20624.54,2015-01-01 21:00:00,2015-01-01 22:00:00,4
2015-01-01,2015,1,1,1,22,1,3,19287.13,21475.5325,2015-01-01 22:00:00,2015-01-01 23:00:00,4
2015-01-01,2015,1,1,1,23,1,3,22288.2825,22143.025,2015-01-01 23:00:00,2015-01-02 00:00:00,4
2015-01-02,2015,1,2,2,0,1,4,23930.975,22906.2,2015-01-02 00:00:00,2015-01-02 01:00:00,4
2015-01-02,2015,1,2,2,1,1,4,24793.545,23631.8275,2015-01-02 01:00:00,2015-01-02 02:00:00,4
