date,year,month,day,dayofyear,hour,week,dayofweek,gen_forecast_da,gen_actual,period_start_utc,period_end_utc,c_by_hour
2014-12-31,2014,12,31,365,23,1,2,,51273.4,2014-12-31 23:00:00,2015-01-01 00:00:00,4
2015-01-01,2015,1,1,1,0,1,3,,49707.055,2015-01-01 00:00:00,2015-01-01 01:00:00,4
2015-01-01,2015,1,1,1,1,1,3,,48784.9325,2015-01-01 01:00:00,2015-01-01 02:00:00,4
2015-01-01,2015,1,1,1,2,1,3,,47937.0925,2015-01-01 02:00:00,2015-01-01 03:00:00,4
2015-01-01,2015,1,1,1,3,1,3,,48116.085,2015-01-01 03:00:00,2015-01-01 04:00:00,4
2015-01-01,2015,1,1,1,4,1,3,,47416.1725,2015-01-01 04:00:00,2015-01-01 05:00:00,4
2015-01-01,2015,1,1,1,5,1,3,,46682.4875,2015-01-01 05:00:00,2015-01-01 06:00:00,4
2015-01-01,2015,1,1,1,6,1,3,,47025.335,2015-01-01 06:00:00,2015-01-01 07:00:00,4
2015-01-01,2015,1,1,1,7,1,3,,47772.2025,2015-01-01 07:00:00,2015-01-01 08:00:00,4
2015-01-01,2015,1,1,1,8,1,3,,48778.715,2015-01-01 08:00:00,2015-01-01 09:00:00,4
2015-01-01,2015,1,1,1,9,1,3,,50768.6725,2015-01-01 09:00:00,2015-01-01 10:00:00,4
2015-01-01,2015,1,1,1,10,1,3,,52746.4625,2015-01-01 10:00:00,2015-01-01 11:00:00,4
2015-01-01,2015,1,1,1,11,1,3,,54388.567500000005,2015-01-01 11:00:00,2015-01-01 12:00:00,4
2015-01-01,2015,1,1,1,12,1,3,,54194.595,2015-01-01 12:00:00,2015-01-01 13:00:00,4
2015-01-01,2015,1,1,1,13,1,3,,53530.832500000004,2015-01-01 13:00:00,2015-01-01 14:00:00,4
2015-01-01,2015,1,1,1,14,1,3,,53567.4775,2015-01-01 14:00:00,2015-01-01 15:00:00,4
2015-01-01,2015,1,1,1,15,1,3,,56220.465,2015-01-01 15:00:00,2015-01-01 16:00:00,4
2015-01-01,2015,1,1,1,16,1,3,,60511.9,2015-01-01 16:00:00,2015-01-01 17:00:00,4
2015-01-01,2015,1,1,1,17,1,3,,61127.41,2015-01-01 17:00:00,2015-01-01 18:00:00,4
2015-01-01,2015,1,1,1,18,1,3,,59578.53,2015-01-01 18:00:00,2015-01-01 19:00:00,4
2015-01-01,2015,1,1,1,19,1,3,,58597.68,2015-01-01 19:00:00,2015-01-01 20:00:00,4
2015-01-01,2015,1,1,1,20,1,3,,56960.76,2015-01-01 20:00:00,2015-01-01 21:00:00,4
2015-01-01,2015,1,1,1,21,1,3,,56721.9775,2015-01-01 21:00:00,2015-01-01 22:00:00,4
2015-01-01,2015,1,1,1,22,1,3,,55084.0025,2015-01-01 22:00:00,2015-01-01 23:00:00,4
2015-01-01,2015,1,1,1,23,1,3,,53821.19,2015-01-01 23:00:00,2015-01-02 00:00:00,4
2015-01-02,2015,1,2,2,0,1,4,,53386.0675,2015-01-02 00:00:00,2015-01-02 01:00:00,4
2015-01-02,2015,1,2,2,1,1,4,,53337.3625,2015-01-02 01:00:00,2015-01-02 02:00:00,4
2015-01-02,2015,1,2,2,2,1,4,,53799.99,2015-01-02 02:00:00,2015-01-02 03:00:00,4
