period_start_utc,period_end_utc,load_actual,off_wind_act,on_wind_act,solar_act,gen_actual,res_sum_act,date,year,month,day,weekday,hour,dayofyear
2018-12-31 23:00:00+00:00,2019-01-01 00:00:00+00:00,43721.7575,3133.985,20323.97,0.1225,53785.6,23458.077500000003,2019-01-01,2019,1,1,1,0,1
2019-01-01 00:00:00+00:00,2019-01-01 01:00:00+00:00,42068.79,2868.215,22315.63,0.135,53141.07,25183.98,2019-01-01,2019,1,1,1,1,1
2019-01-01 01:00:00+00:00,2019-01-01 02:00:00+00:00,40507.985,2460.4,23193.3725,0.1225,52534.02,25653.895000000004,2019-01-01,2019,1,1,1,2,1
2019-01-01 02:00:00+00:00,2019-01-01 03:00:00+00:00,39682.4675,2696.625,24508.715,0.125,53217.19,27205.465,2019-01-01,2019,1,1,1,3,1
2019-01-01 03:00:00+00:00,2019-01-01 04:00:00+00:00,39437.4725,2577.74,26373.4375,0.13,54735.54,28951.3075,2019-01-01,2019,1,1,1,4,1
2019-01-01 04:00:00+00:00,2019-01-01 05:00:00+00:00,38977.5725,2377.3175,27931.3025,0.1275,55846.36,30308.7475,2019-01-01,2019,1,1,1,5,1
2019-01-01 05:00:00+00:00,2019-01-01 06:00:00+00:00,38457.5325,1930.025,29721.1475,0.1225,57076.03,31651.295,2019-01-01,2019,1,1,1,6,1
2019-01-01 06:00:00+00:00,2019-01-01 07:00:00+00:00,39178.42,2045.0375,30415.3775,0.1674999999999999,58108.28,32460.5825,2019-01-01,2019,1,1,1,7,1
2019-01-01 07:00:00+00:00,2019-01-01 08:00:00+00:00,40003.2775,2203.535,30987.405,83.9375,58974.35,33274.8775,2019-01-01,2019,1,1,1,8,1
2019-01-01 08:00:00+00:00,2019-01-01 09:00:00+00:00,42550.14,2075.6800000000003,30918.4025,578.51,59589.88,33572.592500000006,2019-01-01,2019,1,1,1,9,1
2019-01-01 09:00:00+00:00,2019-01-01 10:00:00+00:00,45317.2975,2158.76,31724.755,1337.51,61069.69,35221.025,2019-01-01,2019,1,1,1,10,1
2019-01-01 10:00:00+00:00,2019-01-01 11:00:00+00:00,48259.630000000005,2723.605,33063.6225,1998.315,63832.4,37785.5425,2019-01-01,2019,1,1,1,11,1
2019-01-01 11:00:00+00:00,2019-01-01 12:00:00+00:00,49603.74,2521.32,33625.685,2180.5375,64745.17,38327.5425,2019-01-01,2019,1,1,1,12,1
2019-01-01 12:00:00+00:00,2019-01-01 13:00:00+00:00,49270.3,2286.6175,34340.2175,1929.7625,65061.46,38556.5975,2019-01-01,2019,1,1,1,13,1
2019-01-01 13:00:00+00:00,2019-01-01 14:00:00+00:00,49004.21,2247.425,34808.0375,1210.32,64845.67,38265.7825,2019-01-01,2019,1,1,1,14,1
2019-01-01 14:00:00+00:00,2019-01-01 15:00:00+00:00,49453.4025,2124.18,34762.0725,399.3075,65507.36,37285.560000000005,2019-01-01,2019,1,1,1,15,1
2019-01-01 15:00:00+00:00,2019-01-01 16:00:00+00:00,51203.135,2219.4325,35800.395000000004,18.765,68087.1,38038.592500000006,2019-01-01,2019,1,1,1,16,1
2019-01-01 16:00:00+00:00,2019-01-01 17:00:00+00:00,54402.36,2270.015,36334.4875,0.1825,68894.43,38604.685000000005,2019-01-01,2019,1,1,1,17,1
2019-01-01 17:00:00+00:00,2019-01-01 18:00:00+00:00,55180.73,2209.3325,36482.005,0.135,68229.33,38691.4725,2019-01-01,2019,1,1,1,18,1
2019-01-01 18:00:00+00:00,2019-01-01 19:00:00+00:00,54178.77,2176.005,36153.3225,0.12,65854.75,38329.4475,2019-01-01,2019,1,1,1,19,1
2019-01-01 19:00:00+00:00,2019-01-01 20:00:00+00:00,51852.5,2145.4275,36095.4325,0.11,64263.32,38240.97,2019-01-01,2019,1,1,1,20,1
2019-01-01 20:00:00+00:00,2019-01-01 21:00:00+00:00,50210.025,1848.0225,36007.56,0.1149999999999999,63004.62,37855.6975,2019-01-01,2019,1,1,1,21,1
2019-01-01 21:00:00+00:00,2019-01-01 22:00:00+00:00,49227.445,1842.105,34962.455,0.12,62543.31,36804.68000000001,2019-01-01,2019,1,1,1,22,1
2019-01-01 22:00:00+00:00,2019-01-01 23:00:00+00:00,46384.76,1769.325,34921.5225,0.1149999999999999,61134.41,36690.9625,2019-01-01,2019,1,1,1,23,1
2019-01-01 23:00:00+00:00,2019-01-02 00:00:00+00:00,44161.175,1671.8775,33396.16,0.1275,59323.28,35068.16500000001,2019-01-02,2019,1,2,2,0,2
2019-01-02 00:00:00+00:00,2019-01-02 01:00:00+00:00,42636.975,2034.92,32170.875,0.13,57799.6,34205.925,2019-01-02,2019,1,2,2,1,2
2019-01-02 01:00:00+00:00,2019-01-02 02:00:00+00:00,42224.445,2658.1975,31003.155,0.125,57479.95,33661.4775,2019-01-02,2019,1,2,2,2,2
2019-01-02 02:00:00+00:00,2019-01-02 03:00:00+00:00,42746.955,3050.48,29982.8775,0.125,57005.74,33033.4825,2019-01-02,2019,1,2,2,3,2
2019-01-02 03:00:00+00:00,2019-01-02 04:00:00+00:00,44180.5425,3093.3425,30146.665,0.1325,57368.39,33240.14,2019-01-02,2019,1,2,2,4,2
2019-01-02 04:00:00+00:00,2019-01-02 05:00:00+00:00,47346.205,3259.79,30730.43,0.1625,59463.12,33990.3825,2019-01-02,2019,1,2,2,5,2
2019-01-02 05:00:00+00:00,2019-01-02 06:00:00+00:00,53218.1,3874.42,31327.8825,0.18,64450.8,35202.4825,2019-01-02,2019,1,2,2,6,2
2019-01-02 06:00:00+00:00,2019-01-02 07:00:00+00:00,58704.39,4545.295,30989.87,0.2625,67687.93,35535.4275,2019-01-02,2019,1,2,2,7,2
2019-01-02 07:00:00+00:00,2019-01-02 08:00:00+00:00,62130.895,4332.75,30067.635,108.2275,69619.18,34508.6125,2019-01-02,2019,1,2,2,8,2
2019-01-02 08:00:00+00:00,2019-01-02 09:00:00+00:00,64061.51,4230.1475,28996.1325,1427.2125,71405.37,34653.4925,2019-01-02,2019,1,2,2,9,2
2019-01-02 09:00:00+00:00,2019-01-02 10:00:00+00:00,65114.195,4120.815,28372.86,4024.145,73596.23,36517.82,2019-01-02,2019,1,2,2,10,2
2019-01-02 10:00:00+00:00,2019-01-02 11:00:00+00:00,66429.11,3756.355,28608.0675,6133.17,75871.7,38497.5925,2019-01-02,2019,1,2,2,11,2
2019-01-02 11:00:00+00:00,2019-01-02 12:00:00+00:00,66687.7425,3386.12,29089.1325,6733.67,76416.3,39208.9225,2019-01-02,2019,1,2,2,12,2
2019-01-02 12:00:00+00:00,2019-01-02 13:00:00+00:00,65943.4975,3164.0625,28522.525,6038.865,75055.48,37725.4525,2019-01-02,2019,1,2,2,13,2
2019-01-02 13:00:00+00:00,2019-01-02 14:00:00+00:00,64767.765,2964.52,26681.165,4101.5325,72301.41,33747.2175,2019-01-02,2019,1,2,2,14,2
2019-01-02 14:00:00+00:00,2019-01-02 15:00:00+00:00,64648.665,3112.815,24251.06,1413.345,70512.27,28777.22,2019-01-02,2019,1,2,2,15,2
2019-01-02 15:00:00+00:00,2019-01-02 16:00:00+00:00,65868.0675,2880.525,22758.0275,74.1025,71906.64,25712.655,2019-01-02,2019,1,2,2,16,2
2019-01-02 16:00:00+00:00,2019-01-02 17:00:00+00:00,69179.83,2855.3925,21646.595,0.29,71873.31,24502.277500000004,2019-01-02,2019,1,2,2,17,2
2019-01-02 17:00:00+00:00,2019-01-02 18:00:00+00:00,68927.4175,2696.025,19943.3325,0.175,70939.3,22639.5325,2019-01-02,2019,1,2,2,18,2
2019-01-02 18:00:00+00:00,2019-01-02 19:00:00+00:00,67140.12,2958.235,17951.3325,0.1425,68347.24,20909.710000000003,2019-01-02,2019,1,2,2,19,2
