price,c_by_hour,load_forecast_da,off_wind_da,on_wind_da,solar_da,gen_forecast_da,res_sum_da,date,year,month,day,weekday,hour,dayofyear,is_holiday,day_type
28.32,4,43647.545,5068.9,18879.79,0.0,51070.88,23948.69,2019-01-01,2019,1,1,1,0,1,1,holiday
10.07,4,41692.565,5042.4425,20626.5625,0.0,51084.26,25669.005,2019-01-01,2019,1,1,1,1,1,1,holiday
-4.08,4,40587.2325,5028.4175,22355.685,0.0,51512.67,27384.1025,2019-01-01,2019,1,1,1,2,1,1,holiday
-9.91,4,40308.25,4977.65,24032.4775,0.0,52693.45,29010.1275,2019-01-01,2019,1,1,1,3,1,1,holiday
-7.41,4,40659.575,4907.4,25452.1675,0.0,53666.46,30359.5675,2019-01-01,2019,1,1,1,4,1,1,holiday
-12.55,4,40947.73,4882.84,26526.37,0.0,54161.85,31409.21,2019-01-01,2019,1,1,1,5,1,1,holiday
-17.25,4,40825.205,4876.2775,28058.845,0.0,55107.27,32935.1225,2019-01-01,2019,1,1,1,6,1,1,holiday
-15.07,4,43143.74,4893.255,28845.0575,0.0,56390.02,33738.3125,2019-01-01,2019,1,1,1,7,1,1,holiday
-4.93,4,46266.12,4907.797500000001,29266.725,79.29249999999999,57934.11,34253.815,2019-01-01,2019,1,1,1,8,1,1,holiday
-6.33,4,49197.145,4922.595,29853.9475,655.275,60219.25,35431.8175,2019-01-01,2019,1,1,1,9,1,1,holiday
-4.93,4,51268.87,4923.3375,30461.74,1460.66,63668.58,36845.7375,2019-01-01,2019,1,1,1,10,1,1,holiday
0.45,4,53556.7,4886.8375,31070.6425,2027.44,65975.78,37984.920000000006,2019-01-01,2019,1,1,1,11,1,1,holiday
0.12,4,53355.92,4581.2875,31634.2675,2212.4375,65958.71,38427.9925,2019-01-01,2019,1,1,1,12,1,1,holiday
-0.02,4,51180.84,4416.9575,32343.8575,1915.8575,64932.05,38676.6725,2019-01-01,2019,1,1,1,13,1,1,holiday
0.0,4,49721.905,4386.9425,33018.3825,1183.985,63009.13,38589.31,2019-01-01,2019,1,1,1,14,1,1,holiday
-0.03,4,49646.235,4388.6900000000005,33692.6175,367.2525,63610.71,38448.560000000005,2019-01-01,2019,1,1,1,15,1,1,holiday
1.97,4,51301.3825,4334.6125,34378.2275,19.4575,66096.25,38732.2975,2019-01-01,2019,1,1,1,16,1,1,holiday
9.06,4,54333.5825,4224.7175,35065.95,0.0,68475.2,39290.6675,2019-01-01,2019,1,1,1,17,1,1,holiday
0.07,4,55255.22,4086.325,35777.5025,0.0,68456.28,39863.8275,2019-01-01,2019,1,1,1,18,1,1,holiday
-4.97,4,53902.0325,4010.43,36267.802500000005,0.0,67546.05,40278.232500000006,2019-01-01,2019,1,1,1,19,1,1,holiday
-6.98,4,51325.4175,3924.77,36429.7625,0.0,65640.98,40354.5325,2019-01-01,2019,1,1,1,20,1,1,holiday
-24.93,4,49738.6375,3859.35,36564.7725,0.0,64265.15,40424.1225,2019-01-01,2019,1,1,1,21,1,1,holiday
-4.87,4,48972.2,3921.6925,35906.5725,0.0,63529.07,39828.265,2019-01-01,2019,1,1,1,22,1,1,holiday
-4.87,4,45785.5575,4000.755,35527.0625,0.0,61725.1,39527.8175,2019-01-01,2019,1,1,1,23,1,1,holiday
-33.57,4,42885.6225,4185.6325,34192.0275,0.0,58567.44,38377.66,2019-01-02,2019,1,2,2,0,2,0,weekday
-45.92,4,41594.635,4289.51,33957.06,0.0,57089.48,38246.57,2019-01-02,2019,1,2,2,1,2,0,weekday
-48.29,4,40825.745,4408.165,33658.71,0.0,57091.75,38066.875,2019-01-02,2019,1,2,2,2,2,0,weekday
-44.99,4,41168.9,4563.717500000001,33062.1975,0.0,56913.22,37625.915,2019-01-02,2019,1,2,2,3,2,0,weekday
-48.93,4,42667.4275,4710.665,32396.61,0.0,56841.79,37107.275,2019-01-02,2019,1,2,2,4,2,0,weekday
-29.91,4,46091.08,4821.8025,31750.4275,0.0,58990.44,36572.23,2019-01-02,2019,1,2,2,5,2,0,weekday
-0.01,4,53503.375,4880.344999999999,31599.2275,0.0,64225.01,36479.5725,2019-01-02,2019,1,2,2,6,2,0,weekday
37.43,4,58898.03,4884.7975,30650.755,0.0,69519.54,35535.5525,2019-01-02,2019,1,2,2,7,2,0,weekday
48.06,4,61114.885,4868.530000000001,29324.6625,139.285,72366.76,34332.4775,2019-01-02,2019,1,2,2,8,2,0,weekday
50.74,4,61472.015,4876.75,28210.36,1499.77,73554.13,34586.88,2019-01-02,2019,1,2,2,9,2,0,weekday
47.57,4,62761.97,4824.8225,27793.6625,3934.0775,74534.04,36552.5625,2019-01-02,2019,1,2,2,10,2,0,weekday
43.94,4,63819.3125,4751.3225,27971.78,5855.995,75630.65,38579.0975,2019-01-02,2019,1,2,2,11,2,0,weekday
40.97,4,63670.015,4315.8,27712.845,6487.3725,75396.46,38516.0175,2019-01-02,2019,1,2,2,12,2,0,weekday
44.95,4,63051.015,3958.8625,26844.775,5686.9975,74298.97,36490.635,2019-01-02,2019,1,2,2,13,2,0,weekday
49.64,4,61623.1775,3716.9075,24909.9925,3676.6325,71213.27,32303.5325,2019-01-02,2019,1,2,2,14,2,0,weekday
53.67,4,61356.45,3534.96,22280.980000000003,1241.715,67737.54,27057.655,2019-01-02,2019,1,2,2,15,2,0,weekday
56.01,4,62306.0625,3448.085,20094.0975,62.765,67834.28,23604.9475,2019-01-02,2019,1,2,2,16,2,0,weekday
56.95,4,63935.177500000005,3428.1075,18632.255,0.0,68012.37,22060.362500000003,2019-01-02,2019,1,2,2,17,2,0,weekday
62.08,4,64053.67,3403.3575,17502.015,0.0,67335.88,20905.3725,2019-01-02,2019,1,2,2,18,2,0,weekday
62.11,4,62885.515,3383.26,16376.25,0.0,66673.49,19759.51,2019-01-02,2019,1,2,2,19,2,0,weekday
57.99,4,58935.57,3384.12,15144.7225,0.0,63556.77,18528.8425,2019-01-02,2019,1,2,2,20,2,0,weekday
55.64,4,56123.5425,3419.3,13989.3,0.0,60105.81,17408.6,2019-01-02,2019,1,2,2,21,2,0,weekday
55.13,4,53416.35,3493.565,12937.4625,0.0,58625.53,16431.0275,2019-01-02,2019,1,2,2,22,2,0,weekday
55.13,4,49070.8475,3607.915,12374.7475,0.0,55707.91,15982.6625,2019-01-02,2019,1,2,2,23,2,0,weekday
42.91,4,48324.7825,3879.7225,11456.585,0.0,54526.69,15336.3075,2019-01-03,2019,1,3,3,0,3,0,weekday
45.22,4,46733.0575,3975.98,11302.0075,0.0,54050.88,15277.9875,2019-01-03,2019,1,3,3,1,3,0,weekday
45.63,4,46078.25,3986.7225,11238.83,0.0,53282.95,15225.5525,2019-01-03,2019,1,3,3,2,3,0,weekday
44.0,4,46281.5825,3993.4125,11383.6275,0.0,52327.27,15377.04,2019-01-03,2019,1,3,3,3,3,0,weekday
43.88,4,47435.9775,4009.3625,11744.7625,0.0,53228.43,15754.125,2019-01-03,2019,1,3,3,4,3,0,weekday
45.92,4,49760.2525,4003.0675,11974.02,0.0,56672.48,15977.0875,2019-01-03,2019,1,3,3,5,3,0,weekday
51.07,4,54041.4675,3978.705,12213.035,0.0,62968.41,16191.74,2019-01-03,2019,1,3,3,6,3,0,weekday
52.77,4,59722.1675,3861.5725,12270.3275,0.0,66352.59,16131.9,2019-01-03,2019,1,3,3,7,3,0,weekday
62.89,4,62597.9675,3699.1175,12114.955,190.2725,70851.7,16004.345,2019-01-03,2019,1,3,3,8,3,0,weekday
60.03,4,63572.9725,3500.34,11845.105,1637.225,70801.23,16982.67,2019-01-03,2019,1,3,3,9,3,0,weekday
58.19,4,63943.9175,3184.3075,11235.23,3618.415,72056.08,18037.9525,2019-01-03,2019,1,3,3,10,3,0,weekday
62.99,4,64768.7525,2841.2225,10379.28,4772.385,72494.32,17992.8875,2019-01-03,2019,1,3,3,11,3,0,weekday
63.52,4,64071.77,2500.4225,9844.72,4914.35,71749.05,17259.4925,2019-01-03,2019,1,3,3,12,3,0,weekday
64.67,4,62892.1725,2208.885,9454.4025,4098.6625,70385.89,15761.95,2019-01-03,2019,1,3,3,13,3,0,weekday
65.24,4,61834.525,2042.2725,8989.955,2531.5175,68104.49,13563.745,2019-01-03,2019,1,3,3,14,3,0,weekday
67.76,4,62247.07,1972.515,8701.880000000001,817.9625,66061.24,11492.3575,2019-01-03,2019,1,3,3,15,3,0,weekday
68.41,4,63761.845,1975.52,8861.9575,42.865,67105.99,10880.3425,2019-01-03,2019,1,3,3,16,3,0,weekday
69.55,4,65797.895,2038.52,9193.2825,0.0,68378.05,11231.8025,2019-01-03,2019,1,3,3,17,3,0,weekday
67.28,4,65682.8025,2114.0875,9417.945,0.0,68673.69,11532.0325,2019-01-03,2019,1,3,3,18,3,0,weekday
69.46,4,63781.265,2152.4025,9372.6825,0.0,68351.82,11525.085,2019-01-03,2019,1,3,3,19,3,0,weekday
68.38,4,60168.19,2194.1025,8936.4375,0.0,66614.75,11130.54,2019-01-03,2019,1,3,3,20,3,0,weekday
61.72,4,57374.075,2233.5425,8366.5,0.0,63717.12,10600.0425,2019-01-03,2019,1,3,3,21,3,0,weekday
53.72,4,54542.8925,2254.2575,7814.7425,0.0,61134.0,10069.0,2019-01-03,2019,1,3,3,22,3,0,weekday
53.72,4,51044.38,2310.49,7573.372499999999,0.0,57127.94,9883.8625,2019-01-03,2019,1,3,3,23,3,0,weekday
